,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,city,latitude,longitude,address
0,cPGRnd9XwF90fhzGCNsfTw,choupli-wood-fired-kabob-lansing-2,Choupli Wood Fired Kabob,https://s3-media3.fl.yelpcdn.com/bphoto/tn91tqS7M8mZwHzohNRSug/o.jpg,False,https://www.yelp.com/biz/choupli-wood-fired-kabob-lansing-2?adjust_creative=6fCTf1lUtMWYPrIG5SnEew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6fCTf1lUtMWYPrIG5SnEew,380,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",5.0,"{'latitude': 42.7409884935827, 'longitude': -84.6118634801442}","['delivery', 'pickup']",$,"{'address1': '4411 W Saginaw Hwy', 'address2': None, 'address3': '', 'city': 'Lansing', 'zip_code': '48917', 'country': 'US', 'state': 'MI', 'display_address': ['4411 W Saginaw Hwy', 'Lansing, MI 48917']}",+15177080404,(517) 708-0404,3791.621145664434,Lansing,42.7409884935827,-84.6118634801442,"4411 W Saginaw Hwy, Lansing, MI 48917"
1,iZc-qk2GuyuYcOs7Y9Z7JQ,meat-bbq-lansing,Meat BBQ,https://s3-media1.fl.yelpcdn.com/bphoto/vBHt6rlRrgwLSkI9x_Wpow/o.jpg,False,https://www.yelp.com/biz/meat-bbq-lansing?adjust_creative=6fCTf1lUtMWYPrIG5SnEew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6fCTf1lUtMWYPrIG5SnEew,612,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'southern', 'title': 'Southern'}]",4.5,"{'latitude': 42.7481511, 'longitude': -84.5494017}",['delivery'],$$,"{'address1': '1224 Turner St', 'address2': '', 'address3': '', 'city': 'Lansing', 'zip_code': '48906', 'country': 'US', 'state': 'MI', 'display_address': ['1224 Turner St', 'Lansing, MI 48906']}",+15175804400,(517) 580-4400,2721.8278837199346,Lansing,42.7481511,-84.5494017,"1224 Turner St, Lansing, MI 48906"
2,v7GTSq0JcB0mXEfxL4UOWg,the-soup-spoon-cafe-lansing,The Soup Spoon Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/MSAg_KVyHlE0n9qSl-TFrQ/o.jpg,False,https://www.yelp.com/biz/the-soup-spoon-cafe-lansing?adjust_creative=6fCTf1lUtMWYPrIG5SnEew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6fCTf1lUtMWYPrIG5SnEew,697,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.0,"{'latitude': 42.7337149, 'longitude': -84.530437}","['restaurant_reservation', 'pickup', 'delivery']",$$,"{'address1': '1419 E Michigan Ave', 'address2': '', 'address3': '', 'city': 'Lansing', 'zip_code': '48912', 'country': 'US', 'state': 'MI', 'display_address': ['1419 E Michigan Ave', 'Lansing, MI 48912']}",+15173162377,(517) 316-2377,3183.943778724667,Lansing,42.7337149,-84.530437,"1419 E Michigan Ave, Lansing, MI 48912"
3,m7O6ZFXNqmMSfUNXB7l2Yg,naing-myanmar-family-restaurant-lansing,Naing Myanmar Family Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/FzVX1zXq-i3zpntA_lurng/o.jpg,False,https://www.yelp.com/biz/naing-myanmar-family-restaurant-lansing?adjust_creative=6fCTf1lUtMWYPrIG5SnEew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6fCTf1lUtMWYPrIG5SnEew,318,"[{'alias': 'burmese', 'title': 'Burmese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'malaysian', 'title': 'Malaysian'}]",4.5,"{'latitude': 42.698443, 'longitude': -84.548959}",['delivery'],$$,"{'address1': '3308 S Cedar St', 'address2': 'Ste 3', 'address3': '', 'city': 'Lansing', 'zip_code': '48910', 'country': 'US', 'state': 'MI', 'display_address': ['3308 S Cedar St', 'Ste 3', 'Lansing, MI 48910']}",+18576158393,(857) 615-8393,3689.2511619368947,Lansing,42.698443,-84.548959,"3308 S Cedar St, Ste 3, Lansing, MI 48910"
4,M35hpOEOkSftheUfiOd_0g,good-truckin-diner-lansing,Good Truckin' Diner,https://s3-media4.fl.yelpcdn.com/bphoto/agKOR-AWDDvArsu6xkR9ww/o.jpg,False,https://www.yelp.com/biz/good-truckin-diner-lansing?adjust_creative=6fCTf1lUtMWYPrIG5SnEew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6fCTf1lUtMWYPrIG5SnEew,240,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 42.721538, 'longitude': -84.552038}",['delivery'],$,"{'address1': '1107 S Washington Ave', 'address2': '', 'address3': '', 'city': 'Lansing', 'zip_code': '48910', 'country': 'US', 'state': 'MI', 'display_address': ['1107 S Washington Ave', 'Lansing, MI 48910']}",+15172537961,(517) 253-7961,1550.551445272914,Lansing,42.721538,-84.552038,"1107 S Washington Ave, Lansing, MI 48910"
5,EDTzc8ZPBKBLW4CTiAvL-Q,el-oasis-lansing,El Oasis,https://s3-media3.fl.yelpcdn.com/bphoto/aDERhqKQ6RcGJxjdEcvQMA/o.jpg,False,https://www.yelp.com/biz/el-oasis-lansing?adjust_creative=6fCTf1lUtMWYPrIG5SnEew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6fCTf1lUtMWYPrIG5SnEew,233,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 42.73375017, 'longitude': -84.516201}","['delivery', 'pickup']",$,"{'address1': '2501 E Michigan Ave', 'address2': '', 'address3': '', 'city': 'Lansing', 'zip_code': '48912', 'country': 'US', 'state': 'MI', 'display_address': ['2501 E Michigan Ave', 'Lansing, MI 48912']}",+15176487693,(517) 648-7693,4333.669511344772,Lansing,42.73375017,-84.516201,"2501 E Michigan Ave, Lansing, MI 48912"
6,tSQ5o3iKG2qFhHGk5VqBHg,the-cosmos-wood-fired-pizza-lansing,The Cosmos Wood-Fired Pizza,https://s3-media1.fl.yelpcdn.com/bphoto/0_UT-tGcb-Cx_ccGmwo5Rg/o.jpg,False,https://www.yelp.com/biz/the-cosmos-wood-fired-pizza-lansing?adjust_creative=6fCTf1lUtMWYPrIG5SnEew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6fCTf1lUtMWYPrIG5SnEew,267,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 42.747752, 'longitude': -84.544124}",['delivery'],$$,"{'address1': '1200 N Larch St', 'address2': '', 'address3': '', 'city': 'Lansing', 'zip_code': '48906', 'country': 'US', 'state': 'MI', 'display_address': ['1200 N Larch St', 'Lansing, MI 48906']}",+15178973563,(517) 897-3563,2946.560491627814,Lansing,42.747752,-84.544124,"1200 N Larch St, Lansing, MI 48906"
7,pZVBIaPUGBUbSotvyJWIgA,zaytoon-mediterranean-lansing,Zaytoon Mediterranean,https://s3-media3.fl.yelpcdn.com/bphoto/MvyfhLlJbomG2NF1kNRLBA/o.jpg,False,https://www.yelp.com/biz/zaytoon-mediterranean-lansing?adjust_creative=6fCTf1lUtMWYPrIG5SnEew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6fCTf1lUtMWYPrIG5SnEew,256,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",4.5,"{'latitude': 42.7445286743947, 'longitude': -84.6219610756388}","['delivery', 'pickup']",$$,"{'address1': '940 Elmwood Rd', 'address2': '', 'address3': '', 'city': 'Lansing', 'zip_code': '48917', 'country': 'US', 'state': 'MI', 'display_address': ['940 Elmwood Rd', 'Lansing, MI 48917']}",+15172035728,(517) 203-5728,4714.0393085684245,Lansing,42.7445286743947,-84.6219610756388,"940 Elmwood Rd, Lansing, MI 48917"
8,d3oX54u9J2tnKk4csVpqZQ,bowdies-chophouse-lansing-lansing,Bowdies Chophouse- Lansing,https://s3-media2.fl.yelpcdn.com/bphoto/dvpFwoOqa4q3AQNE-O7CZA/o.jpg,False,https://www.yelp.com/biz/bowdies-chophouse-lansing-lansing?adjust_creative=6fCTf1lUtMWYPrIG5SnEew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6fCTf1lUtMWYPrIG5SnEew,101,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",5.0,"{'latitude': 42.73326, 'longitude': -84.54853}",['delivery'],,"{'address1': '320 E Michigan Ave', 'address2': '', 'address3': None, 'city': 'Lansing', 'zip_code': '48933', 'country': 'US', 'state': 'MI', 'display_address': ['320 E Michigan Ave', 'Lansing, MI 48933']}",+15175804792,(517) 580-4792,1733.7272018980198,Lansing,42.73326,-84.54853,"320 E Michigan Ave, Lansing, MI 48933"
9,JE1eYgCi2cAHTx8N6ULfpQ,saddleback-bbq-lansing,Saddleback BBQ,https://s3-media2.fl.yelpcdn.com/bphoto/pbK710Ao2KGCEYJweMvcnA/o.jpg,False,https://www.yelp.com/biz/saddleback-bbq-lansing?adjust_creative=6fCTf1lUtMWYPrIG5SnEew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6fCTf1lUtMWYPrIG5SnEew,204,"[{'alias': 'bbq', 'title': 'Barbeque'}]",4.5,"{'latitude': 42.72038, 'longitude': -84.55202}","['delivery', 'pickup']",$$,"{'address1': '1147 S Washington Ave', 'address2': '', 'address3': '', 'city': 'Lansing', 'zip_code': '48910', 'country': 'US', 'state': 'MI', 'display_address': ['1147 S Washington Ave', 'Lansing, MI 48910']}",+15172537556,(517) 253-7556,1622.3742502199063,Lansing,42.72038,-84.55202,"1147 S Washington Ave, Lansing, MI 48910"
