XCoord,YCoord,FID,REQUESTID,REQCAT,DESC,DATEINIT,STATUS,DATECLOSED,CANCEL,PROBCODE,SHOP,TILENO,DOMAINID,SRX,SRY
-84.55433932,42.70729044,0,111701,SEWER,CAVE IN,2017-06-09 00:00:00,CLOSED,2017-08-10 00:00:00,N,CAVE IN,LG-28,1,2,13072921.000000,440021.990000
-84.55542000,42.73593100,1,111713,SEWER,CAVE IN,2017-06-10 00:00:00,CLOSED,2017-06-16 00:00:00,N,CAVE IN,LG-16,4,2,13072653.952000,450460.010000
-84.55326099,42.70854199,2,111716,SEWER,SEWER ODOR,2017-06-11 00:00:00,CLOSED,2017-06-15 00:00:00,N,SEWER ODOR,LG-28,1,2,13073211.830000,440477.440000
-84.58966161,42.76007867,3,111727,SEWER,SEWER PROBLEM,2017-06-12 00:00:00,CLOSED,2017-06-13 00:00:00,N,SEWER PROBLEM,LG-06,4,2,13063478.570000,459282.570000
-84.59784068,42.69079713,4,111771,SEWER,SEWER PROBLEM,2017-06-15 00:00:00,CLOSED,2017-06-16 00:00:00,N,SEWER PROBLEM,LG-31,3,2,13061212.870000,434040.500000
-84.55198772,42.69631141,5,111773,SEWER,SEW-WTR IN BSMNT,2017-06-15 00:00:00,CLOSED,2017-06-16 00:00:00,N,SEW-WTR IN BSMNT,LG-33,2,2,13073544.220000,436019.550000
-84.53009944,42.73213034,6,111793,SEWER,SEW-WTR IN BSMNT,2017-06-16 00:00:00,CLOSED,2017-06-19 00:00:00,N,SEW-WTR IN BSMNT,LG-15,1,2,13079453.400000,449060.720000
-84.53598604,42.74222450,7,111795,SEWER,WATER ON ROAD,2017-06-19 00:00:00,CLOSED,2017-06-19 00:00:00,N,WATER ON ROAD,LG-10,1,2,13077879.320000,452742.430000
-84.54961364,42.69632116,8,111796,SEWER,WATER ON ROAD,2017-06-19 00:00:00,CLOSED,2017-06-19 00:00:00,N,WATER ON ROAD,LG-33,2,2,13074182.410000,436021.710000
-84.55066312,42.69735253,9,111797,SEWER,WATER ON ROAD,2017-06-19 00:00:00,CLOSED,2017-06-19 00:00:00,N,WATER ON ROAD,LG-33,2,2,13073901.120000,436398.180000
-84.56388423,42.69338978,10,111798,SEWER,SEW-WTR IN BSMNT,2017-06-19 00:00:00,CLOSED,2017-06-26 00:00:00,N,SEW-WTR IN BSMNT,LG-32,2,2,13070343.800000,434962.100000
-84.55062400,42.73722007,11,111802,SEWER,WATER ON ROAD,2017-06-19 00:00:00,CLOSED,2017-06-21 00:00:00,N,WATER ON ROAD,LG-16,4,2,13073943.380000,450926.930000
-84.53801147,42.71874596,12,111803,SEWER,WATER ON ROAD,2017-06-19 00:00:00,CLOSED,2017-06-21 00:00:00,N,WATER ON ROAD,LG-22,1,2,13077317.850000,444187.320000
